Label	Year	Author	Plant (English)	Plant (Latin)	Plant / Leaf / Fruit	Task	Annotation	Number of Images	Paper-URL	Dataset-URL
AmsinckiaInChickpeas [We24b]	2023	Plant, Brad	Crops: Chickpeas; Weeds: Ansinckia	Crops: Cicer arietinum; Weeds: Ansinckia	Whole plant	Weed Detection	Bounding Boxes	124	https://weed-ai.sydney.edu.au/datasets/21675efe-9d25-4096-be76-3a541475efd4	https://weed-ai.sydney.edu.au/datasets/21675efe-9d25-4096-be76-3a541475efd4
AnnualRyegrassAndTurnipweedInWheat [We24c]	2021	Coleman, Guy	Crops: Wheat; Weeds: Annual Ryegrass, Turnipweed;	Crops: Triticum aestivum; Weeds: Lolium rigidum, Rapistrum rugosum;	Whole plant	Weed Detection	Bounding Boxes	27	https://weed-ai.sydney.edu.au/datasets/5158bbe5-6030-48ad-8214-b68ff8118c22	https://weed-ai.sydney.edu.au/datasets/5158bbe5-6030-48ad-8214-b68ff8118c22
ASDID [BSH22]	2022	Bevers, Noah; Sikora, Edward J.; Hardy, Nate B.	Crops: Soybean;	Crops: Glycine max;	Leaf	Disease Detection	Image Classes	9.981	https://www.sciencedirect.com/science/article/pii/S0168169922007578	https://datadryad.org/stash/dataset/doi:10.5061/dryad.41ns1rnj3
BeanLeafDataset [Ma20]	2020	Makerere AI Lab	Crops: Bean;	Crops: Phaseolus;	Leaf	Disease Identification	Image Classes	1200+	https://github.com/AI-Lab-Makerere/ibean	https://huggingface.co/datasets/AI-Lab-Makerere/beans
BroadleafWeedsInCommonCouch [We24d]	2022	Coleman, Guy	Crops: Common Couch; Weeds: Broadleaf Weeds;	Crops: Elymus repens.; Weeds: Conyza spp.;	Whole plant	Weed Detection	Bounding Boxes	78	https://weed-ai.sydney.edu.au/datasets/8b14a44b-bc7f-4b92-9bc0-224a2a2c4e22	https://weed-ai.sydney.edu.au/datasets/8b14a44b-bc7f-4b92-9bc0-224a2a2c4e22
BrownlowHillFireweed [We24k]	2022	Coleman, Guy	Crops: Pasture; Weeds: Fireweed;	Crops: Various Poaceae; Weeds: Senecio madagascariensis;	Whole plant	Weed Detection	Bounding Boxes	20	https://weed-ai.sydney.edu.au/datasets/24b34712-c31b-4efc-9790-406d1f14d840	https://weed-ai.sydney.edu.au/datasets/24b34712-c31b-4efc-9790-406d1f14d840
CobbityWheat [We24e]	2021	Coleman, Guy	Crops: Wheat; Weeds: Wild radish, Turnipweed;	Crops: Triticum aestivum; Weeds: Raphanus Raphanistrum, Rapistrum rugosum;	Whole plant	Weed Detection	Bounding Boxes	39	https://weed-ai.sydney.edu.au/datasets/3c363da3-6274-45e4-a0ce-b307cb0f89cc	https://weed-ai.sydney.edu.au/datasets/3c363da3-6274-45e4-a0ce-b307cb0f89cc
CornLeafInfection [Ac20]	2020	Acharya, Ramkrishna.	Crops: Maize;	Crops: Zea mays;	Leaf	Disease Detection	Bounding Boxes	2.225	https://www.kaggle.com/datasets/qramkrishna/corn-leaf-infection-dataset	https://www.kaggle.com/datasets/qramkrishna/corn-leaf-infection-dataset
CottonWeedDet3 [RLW23]	2023	Rahman, Abdur; Lu, Yuzhen; Wang, Haifeng	Crops: Cotton; Weeds: Various;	Crops: Gossypium; Weeds: Various;	Leaf	Weed Detection	Bounding Boxes	848	https://www.sciencedirect.com/science/article/pii/S2772375522000910	https://www.kaggle.com/datasets/yuzhenlu/cottonweeddet3
CottonWeedID15 [Ch23]	2023	Chen et al.	Crops: Cotton; Weeds: Morningglory, Carpetweed, Palmer amaranth, Waterhemp, Purslane, Nutsedge, Eclipta, Spotted spurge, Sicklepod, Goosegrass, Prickly sida, Ragweed, Crabgrass, Swinecress, Spurred anoda;	Crops: Gossypium; Weeds: Mollugo verticillata, Amaranthus palmeri, Amaranthus tuberculatus, Portulaca oleracea, Cyperus spp., Eclipta prostrata, Euphorbia maculata, Senna obtusifolia, Eleusine indica, Sida spinosa, Ambrosia artemisiifolia, Digitaria spp., Coronopus didymus, Anoda cristata;	Leaf	Weed Identification	Image Classes	5.187	https://www.sciencedirect.com/science/article/abs/pii/S0168169922004082?via%3Dihub	https://www.kaggle.com/datasets/yuzhenlu/cottonweedid15
DeepSeedling [Ji19]	2019	Jian et al.	Crops: Cotton; Weeds:  Dicotyledonous, Monocotyledonous, Various;	Crops: Gossypium hirsutum; Weeds:  Dicotyledonous, Monocotyledonous, Various;	Seedlings 	Seedling Detection, Seedling Counting	Bounding Boxes	5.610	https://doi.org/10.1186/s13007-019-0528-3	https://figshare.com/s/616956f8633c17ceae9b
DeepWeeds [Ol19]	2019	Olsen et al.	Weeds: Chinee apple, Snake weed, Lantana, Prickly acacia, Siam weed, Parthenium, Rubber vine, Parkinsonia;	Weeds: Ziziphus mauritiana, Stachytarpheta spp., Lantana camara, Vachellia nilotica, Chromolaena odorata, Parthenium hysterophorus, Cryptostegia grandiflora, Parkinsonia aculeata;	Leaf	Weed Detection	Image Classes	17.509	https://www.nature.com/articles/s41598-018-38343-3	https://github.com/AlexOlsen/DeepWeeds
DeepWeedsX [La19]	2019	Lammie et al.	Weeds: Chinee Apple, Lantana, Parkinsonia, Parthenium, Prickly Acacia, Rubber vine, Siam weed, Snakeweed;	Weeds: Ziziphus mauritiana, Lantana spp., Parkinsonia aculeata, Parthenium hysterophorus, Vachellia nilotica, Cryptostegia grandiflora, Chromolaena odorata, Stachytarpheta spp.;	Whole plant	Weed Identifictation	Image Classes	17.508	https://d1wqtxts1xzle7.cloudfront.net/80500290/08693488-libre.pdf?1644369140=&response-content-disposition=inline%3B+filename%3DLow_Power_and_High_Speed_Deep_FPGA_Infer.pdf&Expires=1729777495&Signature=g5gdizpzXTSunn3h3mJ9eld16VBMXup~baXX44~I798yRnMEhOxuk7VaP1pQ0qdgYnJKSpuly0liensxw6mW2MmGLCHv8OW6sabpALpfNJrg2mZagVhd7aZXfFXTC8GjFXxO03YiZZ62b-19Huhn4cOqKFhL9dZphp2erm2ZF2cS5D9uPsVvmeytYOQMGSNxJuBB4-I44CvzPc4vi1GnHWMG46gF0ZiAZwW4HNXtbL5HncWSSQc52J~fJ0JxrijY8BltaRk7jJPdGN91oSOleUj8pprlf8ZGfU7tDLzyvAhTI47OPpVmsAj6cFzdIvF5JuqigOtxv86HMg5~ehjOUg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA	https://www.kaggle.com/datasets/coreylammie/deepweedsx
DPA [RRG20]	2020	Riehle, Daniel; Reiser, David; Griepentrog, Hans W.	Crops: Maize, Sugar beet;	Crops: Zea mays, Beta vulgaris;	Leaf, Fruit, Whole plant	Plant Classification	Segmentation Masks	200	https://www.sciencedirect.com/science/article/pii/S0168169919314346	https://github.com/hohenheimdr/DPA
EarlyCropWeed [Es20]	2020	Espejo-Garcia et al.	Crops: Tomato, Cotton; Weeds: Black nightshade, Velvetleaf;	Crops: Solanum lycopersicum, Gossypium hirsutum; Weeds: Solanum nigrum, Abutilon theophrasti;	Leaf	Weed Detection	Image Classes	504	https://www.sciencedirect.com/science/article/pii/S0168169919319854	https://github.com/AUAgroup/early-crop-weed
GlobalWheatHeadDetection [Da21]	2021	David et al.	Crops: Wheat;	Crops: Triticum aestivum;	Fruit, Wheat Head	Plant Detection	Bounding Boxes	6.422	https://openreview.net/forum?id=fEoYkscKoS	https://zenodo.org/records/5092309
ImageWeeds [Ra23c]	2023	Rai et al.	Weeds: Kochia, Common ragweed, Horseweed, Redroot pigweed, Waterhemp;	Weeds: Bassia scoparia, Ambrosia artemisiifolia, Erigeron canadensis, Amaranthus retroflexus, Amaranthus tuberculatus;	Whole plant	Weed Identification	Bounding Boxes	3.975	https://www.sciencedirect.com/science/article/pii/S2352340923007709	https://data.mendeley.com/datasets/8kjcztbjz2/2
LucasVision [Yo23]	2023	Yordanov et al.	Crops: Common wheat, Durum wheat, Barley, Rye, Oats, Maize, Potatoes, Sugar beet, Sunflower, Rape/Turnip rape, Soybeans, Temporary grassland;	Crops: Triticum aestivum, Triticum durum, Hordeum vulgare, Secale cereale, Avena sativa, Zea mays, Solanum tuberosum, Beta vulgaris, Helianthus annuus, Brassica napus, Glycine max;	Ground cover crops	Plant Identification	Image Classes	16.946	https://arxiv.org/abs/2305.04994v1	https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/DRLL/LUCASvision/
MaizeDiseaseSymptoms [Wi18]	2018	Wiesner-Hanks et al.	Crops: Maize;	Crops: Zea mays;	Leaf	Disease Detection	Other (Polyline)	18.222	https://doi.org/10.1186/s13104-018-3548-6	https://osf.io/p67rz/?view_only=
